hypothesis,comparison,metric,mean_diff,ci95_low,ci95_high,cohens_dz,p_perm,holm_reject,verdict
H1,A1 vs A4,technique recall,-0.75,-0.841,-0.654,-3.909,0.0001,True,NOT SUPPORTED
H2,A1 vs A2,F1,0.027,-0.051,0.118,0.157,0.587,False,FAIL TO REJECT
